id_venda,data_venda,livro,autor,categoria,preco_unitario,quantidade,cliente_id,cidade,forma_pagamento,canal_venda,avaliacao
174,19/07/2025,1984,George Orwell,Ficção,"R$40,85",2,CLI1084,salvador,Cartão de Débito,Loja Física,
178,17/02/2025,Harry Potter e a Pedra Filosofal,J.K. Rowling,fantasia,27.13,1,CLI1153,CURITIBA,Pix,Telefone,cinco
76,14/03/2025,"Pai Rico, Pai Pobre",Robert Kiyosaki,NÃO-FICÇÃO,"R$ 76,20",5,CLI1173,OSASCO ,Cartão de Débito,Marketplace,4
17,25/07/25,O Hobbit,J.R.R. Tolkien,Fantasia,"R$31,54",5,CLI1042,São Paulo,Cartão de Débito,Site,1
562,13/11/25,"Pai Rico, Pai Pobre",Robert Kiyosaki,Não-ficção,"R$ 64,97",1,CLI1147,salvador,Cartão de Crédito,Loja Física,
368,11/08/25,Duna,Frank Herbert,Ficção Científica,,3,CLI1030,curitiba ,Boleto,Site,4
385,16/01/2026,O Poder do Hábito,Charles Duhigg,nao ficção,"R$70,31",4,CLI1152,Belo Horizonte,,Site,cinco
81,20/06/2025,O Hobbit,J.R.R. Tolkien,FANTASIA,"R$34,75",1,CLI1032,Belo Horizonte,,Loja Física,4
80,20/02/25,Duna,Frank Herbert,ficção científica,"R$51,03",2,CLI1139,Osasco,Pix,Site,5
224,17/06/25,Dom Casmurro,Machado de Assis,CLASSICO,"R$41,20",1,CLI1023,sao paulo,Boleto,Marketplace,3
486,04-07-2025,"Pai Rico, Pai Pobre",Robert Kiyosaki,nao ficção,27.62,1,CLI1142,Osasco,Cartão de Crédito,Site,5
559,08/10/25,Python Fluente,Luciano Ramalho,Técnico,"R$32,72",-5,CLI1017,osasco,Cartão de Crédito,Telefone,5
390,03-04-2025,"PAI RICO, PAI POBRE",Robert Kiyosaki,nao ficção,41.46,5,CLI1033,Salvador,Boleto,Site,2
